Tanggal,Banyak Penjualan,Penjualan Kotor,Diskon,Penjualan Bersih,Total Uang Diterima,,,,
4/1/2025,324,5021000,0,5021000,5021000,,,Rata Rata Total Uang Diterima : ,3206852.941
4/2/2025,240,3949000,0,3949000,3949000,,,,
4/3/2025,342,4787000,0,4787000,4787000,,,,
4/4/2025,328,5029000,0,5029000,5029000,,,,
4/5/2025,308,4302000,0,4302000,4302000,,,,
4/6/2025,258,4103000,0,4103000,4103000,,,,
4/7/2025,296,4280000,0,4280000,4280000,,,,
4/8/2025,271,4039000,0,4039000,4039000,,,,
4/9/2025,287,4267000,0,4267000,4267000,,,,
4/10/2025,223,3433000,0,3433000,3433000,,,,
4/11/2025,211,3108000,0,3108000,3108000,,,,
4/12/2025,167,2452000,0,2452000,2452000,,,,
4/13/2025,167,2417000,0,2417000,2417000,,,,
4/14/2025,184,2961000,0,2961000,2961000,,,,
4/15/2025,217,3184000,0,3184000,3184000,,,,
4/16/2025,172,2471000,0,2471000,2471000,,,,
4/17/2025,152,2181000,0,2181000,2181000,,,,
4/18/2025,208,2931000,0,2931000,2931000,,,,
4/19/2025,219,3198000,0,3198000,3198000,,,,
4/20/2025,188,2884000,0,2884000,2884000,,,,
4/21/2025,181,2527000,0,2527000,2527000,,,,
4/22/2025,216,3147000,0,3147000,3147000,,,,
4/23/2025,184,2628000,0,2628000,2628000,,,,
4/24/2025,222,3200000,0,3200000,3200000,,,,
4/25/2025,198,2906000,0,2906000,2906000,,,,
4/26/2025,169,2509000,0,2509000,2509000,,,,
4/27/2025,166,2478000,0,2478000,2478000,,,,
4/28/2025,206,2955000,0,2955000,2955000,,,,
4/29/2025,173,2625000,0,2625000,2625000,,,,
4/30/2025,205,2869000,0,2869000,2869000,,,,
5/1/2025,154,2382000,0,2382000,2382000,,,,
5/2/2025,205,3178000,0,3178000,3178000,,,,
5/3/2025,159,2404000,0,2404000,2404000,,,,
5/4/2025,154,2228000,0,2228000,2228000,,,,
